_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
251,September,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,UMUM,345,1897,2242
252,September,Surabaya Barat,Sambikerep,Puskesmas Lontar,BATRA,9,26,35
253,September,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIGI,61,354,415
254,September,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIZI,2,10,12
255,September,Surabaya Barat,Sambikerep,Puskesmas Lontar,KIA,151,489,640
256,September,Surabaya Barat,Sambikerep,Puskesmas Lontar,LANSIA,11,330,341
257,September,Surabaya Barat,Sambikerep,Puskesmas Lontar,PSIKOLOGI,3,14,17
258,September,Surabaya Barat,Sambikerep,Puskesmas Lontar,UMUM,321,1502,1823
259,September,Surabaya Barat,Tandes,Puskesmas Made,BATRA,0,20,20
260,September,Surabaya Barat,Tandes,Puskesmas Made,GIGI,44,284,328
261,September,Surabaya Barat,Tandes,Puskesmas Made,GIZI,1,35,36
262,September,Surabaya Barat,Tandes,Puskesmas Made,KIA,78,523,601
263,September,Surabaya Barat,Tandes,Puskesmas Made,LANSIA,8,304,312
264,September,Surabaya Barat,Tandes,Puskesmas Made,PKPR,3,0,3
265,September,Surabaya Barat,Tandes,Puskesmas Made,PSIKOLOGI,2,22,24
266,September,Surabaya Barat,Tandes,Puskesmas Made,UMUM,172,1315,1487
267,September,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,BATRA,3,40,43
268,September,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIGI,47,435,482
269,September,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIZI,6,30,36
270,September,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,INSTALASI GAWAT DARURAT,41,55,96
271,September,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,KIA,207,1080,1287
272,September,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,LANSIA,27,1223,1250
273,September,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PSIKOLOGI,4,20,24
274,September,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PTRM,0,43,43
275,September,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,RAWAT INAP,0,13,13
276,September,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,UMUM,482,3305,3787
277,September,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,BATRA,11,152,163
278,September,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,GIGI,194,828,1022
279,September,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,GIZI,4,32,36
280,September,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,INSTALASI GAWAT DARURAT,1,1,2
281,September,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,KIA,246,1158,1404
282,September,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,LANSIA,39,807,846
283,September,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,LOKET,0,2,2
284,September,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,PSIKOLOGI,48,75,123
285,September,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,RAWAT INAP,18,123,141
286,September,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,UMUM,488,3292,3780
287,September,Surabaya Timur,Sukolilo,Puskesmas Menur,BATRA,1,82,83
288,September,Surabaya Timur,Sukolilo,Puskesmas Menur,GIGI,92,519,611
289,September,Surabaya Timur,Sukolilo,Puskesmas Menur,GIZI,1,9,10
290,September,Surabaya Timur,Sukolilo,Puskesmas Menur,INSTALASI GAWAT DARURAT,1,0,1
291,September,Surabaya Timur,Sukolilo,Puskesmas Menur,KIA,156,694,850
292,September,Surabaya Timur,Sukolilo,Puskesmas Menur,LANSIA,24,858,882
293,September,Surabaya Timur,Sukolilo,Puskesmas Menur,PSIKOLOGI,5,11,16
294,September,Surabaya Timur,Sukolilo,Puskesmas Menur,UMUM,283,1882,2165
295,September,Surabaya Timur,Gubeng,Puskesmas Mojo,BATRA,8,33,41
296,September,Surabaya Timur,Gubeng,Puskesmas Mojo,GIGI,31,454,485
297,September,Surabaya Timur,Gubeng,Puskesmas Mojo,GIZI,1,1,2
298,September,Surabaya Timur,Gubeng,Puskesmas Mojo,KIA,155,608,763
299,September,Surabaya Timur,Gubeng,Puskesmas Mojo,LANSIA,18,822,840
