_id,Bulan,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
252,Januari,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,UMUM,376,2160,2536
253,Januari,Surabaya Barat,Sambikerep,Puskesmas Lontar,BATRA,6,83,89
254,Januari,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIGI,58,356,414
255,Januari,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIZI,0,4,4
256,Januari,Surabaya Barat,Sambikerep,Puskesmas Lontar,KIA,134,462,596
257,Januari,Surabaya Barat,Sambikerep,Puskesmas Lontar,LANSIA,19,358,377
258,Januari,Surabaya Barat,Sambikerep,Puskesmas Lontar,P2M,0,8,8
259,Januari,Surabaya Barat,Sambikerep,Puskesmas Lontar,PSIKOLOGI,3,17,20
260,Januari,Surabaya Barat,Sambikerep,Puskesmas Lontar,UMUM,691,2070,2761
261,Januari,Surabaya Barat,Sambikerep,Puskesmas Made,BATRA,0,15,15
262,Januari,Surabaya Barat,Sambikerep,Puskesmas Made,GIGI,30,279,309
263,Januari,Surabaya Barat,Sambikerep,Puskesmas Made,GIZI,1,17,18
264,Januari,Surabaya Barat,Sambikerep,Puskesmas Made,KIA,57,496,553
265,Januari,Surabaya Barat,Sambikerep,Puskesmas Made,LANSIA,6,237,243
266,Januari,Surabaya Barat,Sambikerep,Puskesmas Made,PSIKOLOGI,1,13,14
267,Januari,Surabaya Barat,Sambikerep,Puskesmas Made,UMUM,219,1552,1771
268,Januari,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,BATRA,4,66,70
269,Januari,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIGI,92,530,622
270,Januari,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIZI,19,32,51
271,Januari,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,INSTALASI GAWAT DARURAT,33,39,72
272,Januari,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,KIA,192,1091,1283
273,Januari,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,LANSIA,34,1337,1371
274,Januari,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PSIKOLOGI,9,31,40
275,Januari,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PTRM,0,38,38
276,Januari,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,RAWAT INAP,0,18,18
