_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
183,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,UMUM,296,2686,2982
184,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,BATRA,1,140,141
185,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIGI,31,438,469
186,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIZI,2,13,15
187,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,INSTALASI GAWAT DARURAT,20,458,478
188,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,KIA,104,734,838
189,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PARU,2,89,91
190,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PSIKOLOGI,27,45,72
191,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,SANITASI,0,3,3
192,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,UMUM,248,2925,3173
193,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,VCT,45,281,326
194,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,BATRA,2,33,35
195,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,GIGI,87,569,656
196,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,GIZI,24,70,94
197,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,INSTALASI GAWAT DARURAT,18,17,35
198,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,KIA,285,1099,1384
199,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,LANSIA,51,1337,1388
200,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,PARU,1,64,65
201,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,PKPR,0,1,1
202,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,PSIKOLOGI,0,24,24
203,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,RAWAT INAP,5,5,10
204,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,SANITASI,0,1,1
205,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,UMUM,495,2853,3348
206,Oktober,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,VCT,11,112,123
207,Oktober,Surabaya Utara,Bulak,Puskesmas Kenjeran,BATRA,0,27,27
208,Oktober,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIGI,45,411,456
209,Oktober,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIZI,9,50,59
210,Oktober,Surabaya Utara,Bulak,Puskesmas Kenjeran,KIA,108,615,723
211,Oktober,Surabaya Utara,Bulak,Puskesmas Kenjeran,PSIKOLOGI,5,35,40
212,Oktober,Surabaya Utara,Bulak,Puskesmas Kenjeran,UMUM,235,2283,2518
213,Oktober,Surabaya Timur,Sukolilo,Puskesmas Keputih,BATRA,1,25,26
214,Oktober,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIGI,46,241,287
215,Oktober,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIZI,0,2,2
216,Oktober,Surabaya Timur,Sukolilo,Puskesmas Keputih,KIA,137,568,705
217,Oktober,Surabaya Timur,Sukolilo,Puskesmas Keputih,LANSIA,16,295,311
218,Oktober,Surabaya Timur,Sukolilo,Puskesmas Keputih,PSIKOLOGI,2,10,12
219,Oktober,Surabaya Timur,Sukolilo,Puskesmas Keputih,SANITASI,0,1,1
220,Oktober,Surabaya Timur,Sukolilo,Puskesmas Keputih,UMUM,334,1413,1747
221,Oktober,Surabaya Pusat,Genteng,Puskesmas Ketabang,BATRA,3,58,61
222,Oktober,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIGI,55,358,413
223,Oktober,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIZI,2,11,13
224,Oktober,Surabaya Pusat,Genteng,Puskesmas Ketabang,KIA,66,376,442
225,Oktober,Surabaya Pusat,Genteng,Puskesmas Ketabang,LANSIA,24,544,568
226,Oktober,Surabaya Pusat,Genteng,Puskesmas Ketabang,PSIKOLOGI,2,8,10
227,Oktober,Surabaya Pusat,Genteng,Puskesmas Ketabang,UMUM,278,1738,2016
228,Oktober,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,BATRA,1,14,15
229,Oktober,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIGI,45,488,533
230,Oktober,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIZI,0,11,11
231,Oktober,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,KIA,94,499,593
232,Oktober,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,LANSIA,19,463,482
233,Oktober,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,PSIKOLOGI,2,28,30
234,Oktober,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,SANITASI,0,1,1
235,Oktober,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,TUMBUH KEMBANG,0,1,1
236,Oktober,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,UMUM,300,1610,1910
237,Oktober,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,BATRA,2,44,46
238,Oktober,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIGI,37,322,359
239,Oktober,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIZI,17,64,81
240,Oktober,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,INSTALASI GAWAT DARURAT,51,152,203
241,Oktober,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,KIA,117,958,1075
242,Oktober,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,LANSIA,23,574,597
