_id,Bulan,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
224,Desember,Surabaya Pusat,Genteng,Puskesmas Ketabang,KIA,65,341,406
225,Desember,Surabaya Pusat,Genteng,Puskesmas Ketabang,LANSIA,6,395,401
226,Desember,Surabaya Pusat,Genteng,Puskesmas Ketabang,PSIKOLOGI,1,2,3
227,Desember,Surabaya Pusat,Genteng,Puskesmas Ketabang,UMUM,319,2052,2371
228,Desember,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,BATRA,0,15,15
229,Desember,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIGI,44,434,478
230,Desember,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIZI,1,13,14
231,Desember,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,KIA,70,465,535
232,Desember,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,LANSIA,12,426,438
233,Desember,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,PSIKOLOGI,3,21,24
234,Desember,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,UMUM,369,1895,2264
235,Desember,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,ANAK,11,41,52
236,Desember,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,BATRA,2,34,36
237,Desember,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIGI,26,301,327
238,Desember,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIZI,23,68,91
239,Desember,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,INSTALASI GAWAT DARURAT,59,153,212
240,Desember,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,KIA,91,849,940
241,Desember,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,LANSIA,19,544,563
242,Desember,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,PSIKOLOGI,23,43,66
243,Desember,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,RAWAT INAP,9,16,25
244,Desember,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,TUMBUH KEMBANG,1,14,15
245,Desember,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,UMUM,421,2707,3128
246,Desember,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,BATRA,1,27,28
247,Desember,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIGI,41,388,429
248,Desember,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIZI,1,7,8
249,Desember,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,KIA,67,510,577
250,Desember,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,LANSIA,13,407,420
251,Desember,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,PSIKOLOGI,4,16,20
252,Desember,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,UMUM,376,2160,2536
253,Desember,Surabaya Barat,Sambikerep,Puskesmas Lontar,BATRA,6,83,89
254,Desember,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIGI,58,356,414
255,Desember,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIZI,0,4,4
256,Desember,Surabaya Barat,Sambikerep,Puskesmas Lontar,KIA,134,462,596
257,Desember,Surabaya Barat,Sambikerep,Puskesmas Lontar,LANSIA,19,358,377
258,Desember,Surabaya Barat,Sambikerep,Puskesmas Lontar,P2M,0,8,8
259,Desember,Surabaya Barat,Sambikerep,Puskesmas Lontar,PSIKOLOGI,3,17,20
260,Desember,Surabaya Barat,Sambikerep,Puskesmas Lontar,UMUM,691,2070,2761
261,Desember,Surabaya Barat,Sambikerep,Puskesmas Made,BATRA,0,15,15
262,Desember,Surabaya Barat,Sambikerep,Puskesmas Made,GIGI,30,279,309
263,Desember,Surabaya Barat,Sambikerep,Puskesmas Made,GIZI,1,17,18
264,Desember,Surabaya Barat,Sambikerep,Puskesmas Made,KIA,57,496,553
265,Desember,Surabaya Barat,Sambikerep,Puskesmas Made,LANSIA,6,237,243
266,Desember,Surabaya Barat,Sambikerep,Puskesmas Made,PSIKOLOGI,1,13,14
267,Desember,Surabaya Barat,Sambikerep,Puskesmas Made,UMUM,219,1552,1771
268,Desember,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,BATRA,4,66,70
269,Desember,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIGI,92,530,622
270,Desember,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIZI,19,32,51
271,Desember,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,INSTALASI GAWAT DARURAT,33,39,72
272,Desember,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,KIA,192,1091,1283
273,Desember,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,LANSIA,34,1337,1371
274,Desember,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PSIKOLOGI,9,31,40
275,Desember,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PTRM,0,38,38
276,Desember,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,RAWAT INAP,0,18,18
277,Desember,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,UMUM,679,4017,4696
278,Desember,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,BATRA,8,147,155
279,Desember,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,GIGI,136,786,922
280,Desember,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,GIZI,2,27,29
281,Desember,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,INSTALASI GAWAT DARURAT,2,1,3
282,Desember,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,KIA,214,1013,1227
283,Desember,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,LANSIA,26,812,838
284,Desember,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,PSIKOLOGI,27,68,95
285,Desember,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,RAWAT INAP,5,66,71
