_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
215,Agustus,Surabaya Utara,Bulak,Puskesmas Kenjeran,PSIKOLOGI,7,28,35
216,Agustus,Surabaya Utara,Bulak,Puskesmas Kenjeran,UMUM,226,2405,2631
217,Agustus,Surabaya Timur,Sukolilo,Puskesmas Keputih,BATRA,2,17,19
218,Agustus,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIGI,37,205,242
219,Agustus,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIZI,0,2,2
220,Agustus,Surabaya Timur,Sukolilo,Puskesmas Keputih,KIA,111,517,628
221,Agustus,Surabaya Timur,Sukolilo,Puskesmas Keputih,LANSIA,9,331,340
222,Agustus,Surabaya Timur,Sukolilo,Puskesmas Keputih,PSIKOLOGI,5,9,14
223,Agustus,Surabaya Timur,Sukolilo,Puskesmas Keputih,SANITASI,0,1,1
224,Agustus,Surabaya Timur,Sukolilo,Puskesmas Keputih,UMUM,305,1256,1561
225,Agustus,Surabaya Pusat,Genteng,Puskesmas Ketabang,BATRA,1,55,56
226,Agustus,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIGI,55,366,421
227,Agustus,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIZI,1,14,15
228,Agustus,Surabaya Pusat,Genteng,Puskesmas Ketabang,KIA,72,392,464
229,Agustus,Surabaya Pusat,Genteng,Puskesmas Ketabang,LANSIA,20,632,652
230,Agustus,Surabaya Pusat,Genteng,Puskesmas Ketabang,PSIKOLOGI,1,4,5
231,Agustus,Surabaya Pusat,Genteng,Puskesmas Ketabang,UMUM,219,1822,2041
232,Agustus,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,BATRA,3,37,40
233,Agustus,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIGI,48,395,443
234,Agustus,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIZI,0,6,6
235,Agustus,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,KIA,87,513,600
236,Agustus,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,LANSIA,17,443,460
237,Agustus,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,PSIKOLOGI,2,16,18
238,Agustus,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,UMUM,334,1611,1945
